Unnamed: 0,sj,fl_e,fl_n,fl_s,fl_w,label
#GS006,2018/11/23 8:00,1102,1242,1496,1146,4986
#GS007,2018/11/23 9:00,988,1207,975,421,3591
#GS035,2018/11/23 9:00,0,1039,812,803,2654
#GS006,2018/11/23 9:00,825,677,1152,832,3486
#GS008,2018/11/23 9:00,1526,939,1565,1382,5412
#GS035,2018/11/24 0:00,0,396,228,287,911
#GS007,2018/11/24 0:00,73,364,191,91,719
#GS008,2018/11/24 0:00,500,308,185,318,1311
#GS006,2018/11/24 0:00,102,389,308,166,965
#GS006,2018/11/24 10:00,522,514,697,669,2402
#GS007,2018/11/24 10:00,507,852,491,339,2189
#GS035,2018/11/24 10:00,0,1062,790,782,2634
#GS008,2018/11/24 10:00,1277,757,1164,659,3857
#GS035,2018/11/24 11:00,0,1110,771,720,2601
#GS008,2018/11/24 11:00,1255,747,1077,665,3744
#GS007,2018/11/24 11:00,585,832,307,310,2034
#GS006,2018/11/24 11:00,458,528,726,615,2327
#GS007,2018/11/24 12:00,589,940,628,347,2504
#GS008,2018/11/24 12:00,1327,814,1196,960,4297
#GS006,2018/11/24 12:00,438,585,886,658,2567
#GS035,2018/11/24 12:00,0,1152,766,821,2739
#GS035,2018/11/24 13:00,0,1149,774,881,2804
#GS008,2018/11/24 13:00,1453,934,1279,1121,4787
#GS006,2018/11/24 13:00,431,596,892,727,2646
#GS007,2018/11/24 13:00,666,937,676,345,2624
#GS035,2018/11/24 14:00,0,1228,865,806,2899
#GS008,2018/11/24 14:00,1493,918,1295,1202,4908
#GS006,2018/11/24 14:00,525,661,838,772,2796
#GS007,2018/11/24 14:00,572,956,702,331,2561
#GS008,2018/11/24 15:00,1456,1029,1158,1351,4994
#GS007,2018/11/24 15:00,581,1073,622,316,2592
#GS006,2018/11/24 15:00,565,742,782,787,2876
